"","Gender","Age","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Travel.Busi","Travel.Pers","ClassBusi","ClassEco","ClassEcoPlus","cluster"
"26025",1,18,1072,3,3,3,3,3,3,4,3,5,5,1,5,5,3,6,0,1,0,0,1,0,1
"26029",1,40,152,5,0,5,4,2,5,2,2,4,5,3,3,4,2,0,0,1,0,0,1,0,2
"26032",1,15,756,2,2,2,3,1,2,1,1,3,3,4,3,5,1,5,1,1,0,0,1,0,4
"26033",1,23,2153,3,3,3,1,5,3,5,5,3,4,3,5,5,5,0,0,1,0,0,1,0,3
"26038",1,27,409,2,2,2,1,1,2,1,1,3,2,5,4,4,1,0,1,1,0,1,0,0,2
"26047",0,29,1012,4,4,4,2,2,4,5,2,4,5,5,5,4,2,0,4,1,0,1,0,0,1
"26052",0,40,325,1,1,1,1,3,1,3,3,2,2,1,4,1,3,11,5,1,0,1,0,0,2
"26055",0,30,1521,1,1,1,3,2,1,2,2,3,4,4,3,4,2,45,18,1,0,1,0,0,1
"26056",0,30,731,1,1,1,1,1,1,1,1,1,5,1,1,2,1,5,0,1,0,0,1,0,4
"26057",0,37,967,4,4,4,1,1,4,1,1,4,1,2,4,4,1,43,49,1,0,0,1,0,4
"26058",1,35,859,1,1,1,4,3,1,2,3,4,2,3,1,4,3,94,88,1,0,0,1,0,4
"26064",1,20,563,4,2,4,1,3,4,3,3,4,4,4,5,4,3,0,0,1,0,1,0,0,4
"26071",0,35,1134,1,1,1,3,3,1,3,3,4,2,3,1,4,3,0,0,1,0,0,1,0,1
"26073",1,39,427,4,1,4,4,5,4,5,5,1,5,4,2,3,5,0,8,1,0,0,1,0,2
"26074",0,28,1797,4,4,4,3,3,4,3,3,4,4,3,3,5,3,0,0,1,0,1,0,0,1
"26075",0,23,177,2,4,3,3,1,3,1,1,1,4,4,4,3,1,0,0,1,0,0,1,0,2
"26077",0,23,528,0,3,0,5,3,0,1,3,3,2,5,5,5,3,0,0,1,0,0,1,0,4
"26082",0,32,808,4,4,4,4,5,4,5,5,5,2,4,4,4,5,33,23,1,0,1,0,0,4
"26085",1,11,802,3,2,2,4,1,2,1,1,4,1,3,3,1,1,6,0,1,0,0,1,0,4
"26087",1,30,2176,1,1,1,4,5,1,1,5,4,3,5,4,5,5,15,3,1,0,1,0,0,3
"26110",1,22,370,1,1,1,3,2,1,2,2,1,4,3,1,4,2,5,0,1,0,0,1,0,2
"26114",0,30,912,0,0,0,5,3,0,3,3,3,2,4,3,5,3,0,0,1,0,1,0,0,4
"26116",1,15,672,2,2,2,3,2,2,2,2,4,1,4,2,3,2,24,24,1,0,0,1,0,4
"26130",1,33,160,3,4,3,3,5,3,5,5,5,1,2,4,4,5,0,0,1,0,0,1,0,2
"26133",0,54,655,5,0,5,1,2,5,2,2,5,4,1,4,1,2,0,0,1,0,0,1,0,4
"26136",0,44,307,2,2,2,4,4,2,1,4,3,2,5,5,5,4,0,3,1,0,1,0,0,2
"26144",1,24,859,4,4,4,2,2,4,2,2,3,5,5,2,5,2,0,0,1,0,0,1,0,4
"26145",1,38,116,2,2,2,4,3,2,3,3,2,3,4,2,3,3,8,6,1,0,0,0,1,2
"26162",1,27,1177,4,4,4,3,3,4,3,3,4,5,4,5,4,3,31,44,1,0,1,0,0,1
"26165",1,63,106,3,4,4,5,3,3,5,3,5,5,5,5,4,3,0,0,1,0,1,0,0,2
"26170",0,25,472,4,0,4,5,3,4,3,3,3,4,3,2,2,3,0,0,1,0,0,1,0,2
"26181",0,30,837,1,1,1,3,5,1,2,5,2,1,4,4,3,5,0,0,1,0,0,1,0,4
"26192",0,22,507,2,0,3,2,3,3,3,3,4,4,4,5,4,3,0,0,1,0,0,1,0,2
"26201",0,36,1182,2,2,2,3,4,2,4,4,5,2,5,4,5,4,20,6,1,0,1,0,0,1
"26210",1,45,649,1,4,1,3,5,1,5,5,4,2,3,2,3,5,0,0,1,0,0,1,0,4
"26212",0,29,680,1,1,1,3,3,1,5,3,5,2,4,3,5,3,55,50,1,0,1,0,0,4
"26218",0,30,999,3,3,3,2,5,3,1,5,3,5,5,5,5,5,3,0,1,0,1,0,0,1
"26228",1,25,847,2,2,2,2,1,2,1,1,5,5,5,3,5,1,0,10,1,0,0,1,0,4
"26231",0,35,484,3,2,2,1,3,2,3,3,3,3,5,3,5,3,0,4,1,0,1,0,0,2
"26237",1,41,77,2,5,1,4,3,1,3,3,3,5,3,5,2,3,0,0,1,0,0,1,0,2
"26241",0,33,190,2,0,2,1,1,2,1,1,5,3,3,3,5,1,0,0,1,0,0,1,0,2
"26243",0,27,1074,1,1,1,3,4,1,4,4,1,3,2,4,3,4,47,35,1,0,0,1,0,1
"26248",1,33,101,2,2,2,4,4,2,3,4,3,5,3,2,4,4,0,0,1,0,1,0,0,2
"26258",1,29,647,2,1,1,2,5,1,4,5,5,3,4,3,4,5,12,9,1,0,1,0,0,4
"26259",0,47,781,1,1,1,3,1,1,1,1,3,5,5,5,4,1,44,32,1,0,1,0,0,4
"26267",1,37,1033,3,3,3,2,1,3,1,1,4,2,4,4,4,1,19,13,1,0,1,0,0,1
"26274",0,23,335,5,5,5,3,1,5,1,1,3,5,5,5,4,1,3,30,1,0,1,0,0,2
"26275",1,35,2586,1,1,1,2,1,5,5,5,2,4,5,5,3,5,33,22,1,0,1,0,0,3
"26277",1,26,356,1,2,1,3,1,1,1,1,3,4,3,1,4,1,0,0,1,0,1,0,0,2
"26279",0,25,1069,1,1,1,3,1,3,3,4,1,4,4,3,3,3,113,136,1,0,0,1,0,1
"26281",1,41,315,5,5,5,5,1,5,2,1,4,4,5,5,4,1,0,6,1,0,1,0,0,2
"26306",0,23,255,0,3,0,3,5,0,5,5,4,2,4,5,4,5,4,6,1,0,1,0,0,2
"26312",0,24,796,3,3,3,1,1,3,1,1,4,2,3,4,5,1,8,1,1,0,0,1,0,4
"26313",1,37,946,5,5,5,2,2,5,2,2,3,2,4,4,5,2,37,37,1,0,1,0,0,4
"26315",0,20,213,3,3,3,3,4,3,4,4,1,5,2,2,3,4,10,11,1,0,1,0,0,2
"26321",0,20,641,1,3,0,2,2,0,2,2,2,4,1,3,5,2,17,16,1,0,0,1,0,4
"26322",0,23,867,4,5,4,4,3,4,3,3,4,2,5,5,5,3,19,2,1,0,1,0,0,4
"26323",1,36,337,3,3,3,3,3,3,4,3,4,5,3,1,4,3,0,0,1,0,0,1,0,2
"26330",0,44,397,1,4,1,3,4,1,4,4,2,3,4,4,4,4,0,0,1,0,0,1,0,2
"26333",0,25,948,3,3,3,4,5,3,5,5,1,5,3,4,3,5,5,2,1,0,0,1,0,4
"26349",1,24,136,1,4,1,3,4,1,4,4,1,4,3,3,4,4,0,7,1,0,0,1,0,2
"26364",0,48,201,3,5,3,4,2,3,2,2,4,4,1,3,4,2,0,0,1,0,0,1,0,2
"26365",0,29,1107,2,2,2,1,1,2,1,1,2,2,5,3,4,1,0,0,1,0,0,0,1,1
"26367",0,24,813,2,2,2,3,5,2,5,5,1,3,4,1,3,5,0,7,1,0,0,1,0,4
"26371",1,25,1440,5,0,0,3,5,5,5,5,3,4,4,5,5,5,16,34,1,0,0,1,0,1
"26372",0,26,1214,1,1,1,2,4,1,4,4,4,2,4,4,5,4,0,0,1,0,1,0,0,1
"26378",0,20,563,0,0,0,5,5,0,5,5,2,3,1,3,2,5,0,0,1,0,0,1,0,4
"26385",1,38,1269,5,5,5,5,2,5,2,2,3,2,4,5,5,2,8,3,1,0,1,0,0,1
"26394",1,39,196,3,1,3,4,5,3,5,5,1,1,4,3,3,5,0,0,1,0,0,1,0,2
"26397",0,25,2077,5,0,5,3,2,5,2,2,4,2,4,5,4,2,0,0,1,0,1,0,0,3
"26399",1,20,305,4,0,4,1,4,4,4,4,2,2,4,3,2,4,0,0,1,0,0,1,0,2
"26400",0,21,972,2,2,2,3,4,2,4,4,5,4,5,3,5,4,0,0,1,0,0,1,0,4
"26401",0,28,1237,2,2,2,2,2,2,2,2,2,3,4,3,2,2,39,27,1,0,0,1,0,1
"26406",0,54,420,4,4,4,5,2,4,2,2,2,3,4,3,2,2,12,25,1,0,0,1,0,2
"26412",0,8,1009,4,4,4,3,3,4,3,3,2,2,4,2,3,3,0,0,1,0,0,1,0,1
"26418",1,44,369,3,0,3,2,4,3,4,4,1,1,1,1,5,4,0,0,1,0,0,1,0,2
"26419",0,25,404,2,2,2,2,4,2,5,4,4,1,3,4,2,4,18,10,1,0,0,1,0,2
"26422",1,45,895,2,2,2,4,4,2,4,4,4,3,4,4,4,4,73,63,1,0,1,0,0,4
"26423",0,39,247,2,2,2,1,2,2,2,2,3,5,4,4,5,2,94,95,1,0,1,0,0,2
"26430",0,35,964,1,1,1,3,4,1,2,4,4,4,5,4,5,4,0,0,1,0,1,0,0,4
"26431",1,24,1075,5,5,5,3,5,5,5,5,5,5,2,4,3,5,3,0,1,0,0,1,0,1
"26435",0,46,406,3,0,4,3,5,4,5,5,1,5,4,2,4,5,0,17,1,0,0,1,0,2
"26437",0,25,592,4,3,4,4,1,4,1,1,3,4,4,1,4,1,2,12,1,0,0,1,0,4
"26455",0,65,545,2,1,2,3,4,2,4,4,4,5,3,1,4,4,3,0,0,1,0,1,0,4
"26458",1,48,1005,4,4,4,1,3,4,3,3,4,5,5,5,4,3,78,68,1,0,1,0,0,1
"26462",1,37,1024,2,2,2,3,5,2,5,5,3,4,4,3,4,5,9,0,1,0,0,0,1,1
"26464",0,49,224,3,0,3,1,3,3,3,3,1,1,3,3,4,3,0,0,1,0,0,1,0,2
"26467",0,9,1340,2,2,2,3,3,2,3,3,4,4,3,3,5,3,0,0,1,0,0,1,0,1
"26471",0,20,73,2,4,2,4,2,2,2,2,3,3,3,1,4,2,0,0,1,0,0,1,0,2
"26479",0,50,1046,1,1,1,4,2,1,2,2,4,1,3,1,4,2,10,8,1,0,0,0,1,1
"26480",1,34,983,2,2,2,4,3,2,3,3,3,1,4,3,3,3,0,0,1,0,0,1,0,1
"26487",1,30,1605,3,2,2,3,1,2,1,1,4,5,4,3,5,1,9,1,1,0,1,0,0,1
"26488",1,25,1097,0,0,0,2,2,0,3,2,4,5,5,1,3,2,86,124,1,0,1,0,0,1
"26493",0,21,2296,3,3,3,4,5,3,5,5,5,3,4,3,4,5,5,0,1,0,0,1,0,3
"26494",1,16,307,4,3,4,3,2,4,4,2,1,4,4,4,4,2,0,0,1,0,0,1,0,2
"26498",1,11,986,1,4,1,4,4,1,2,4,1,5,3,3,4,4,0,9,1,0,1,0,0,1
"26499",0,25,1084,2,0,2,5,2,2,1,2,3,4,4,5,5,2,81,86,1,0,1,0,0,1
"26500",0,38,237,4,4,4,2,3,4,3,3,5,2,4,5,4,3,24,14,1,0,1,0,0,2
"26507",0,26,2586,2,0,2,3,2,2,2,4,5,4,4,2,3,2,0,0,1,0,1,0,0,3
"26515",0,21,1128,2,0,2,4,4,2,4,4,1,2,4,4,3,4,0,9,1,0,1,0,0,1
"26522",1,37,189,3,3,3,4,2,3,2,2,4,4,4,5,4,2,16,4,1,0,1,0,0,2
"26527",1,26,1747,4,3,3,3,2,4,2,2,4,5,4,3,4,2,0,0,1,0,0,1,0,1
"26535",0,23,683,4,0,5,5,4,5,4,4,3,3,4,4,4,4,0,0,1,0,1,0,0,4
"26537",1,54,446,2,3,3,4,5,3,4,5,3,1,4,1,4,5,0,0,1,0,0,1,0,2
"26539",0,22,1032,1,1,1,1,2,1,2,2,5,4,5,4,4,2,0,0,1,0,0,1,0,1
"26547",0,49,187,3,3,3,3,2,3,2,2,4,4,4,3,4,2,4,5,1,0,1,0,0,2
"26548",0,23,733,2,2,2,3,3,2,5,3,4,2,4,2,4,3,44,44,1,0,0,1,0,4
"26559",1,23,549,4,4,4,2,3,4,3,3,3,5,4,3,4,3,67,74,1,0,1,0,0,4
"26561",1,23,1207,4,4,4,3,1,4,1,1,4,3,4,5,4,1,14,1,1,0,0,1,0,1
"26567",1,50,1048,3,3,3,3,1,3,1,1,4,4,3,3,3,1,0,8,1,0,0,1,0,1
"26573",0,30,100,3,3,3,3,2,3,2,2,2,5,3,1,2,2,0,0,1,0,0,1,0,2
"26574",0,15,1028,1,1,1,4,5,1,5,5,2,4,4,3,4,5,9,1,1,0,0,1,0,1
"26585",0,21,720,0,0,0,4,5,0,5,5,5,4,5,4,3,5,0,0,1,0,1,0,0,4
"26593",1,27,528,2,2,2,3,4,2,4,4,4,5,4,4,5,4,0,0,1,0,1,0,0,4
"26598",0,30,2449,3,3,3,4,1,3,1,1,5,2,4,5,4,1,0,0,1,0,1,0,0,3
"26611",1,34,696,1,1,1,3,3,1,3,3,3,3,4,1,4,3,0,0,1,0,0,1,0,4
"26612",0,38,175,2,1,2,4,2,1,1,1,1,3,4,1,3,1,276,263,1,0,0,1,0,2
"26616",0,39,370,1,1,1,3,1,1,1,1,1,2,3,1,3,1,61,67,1,0,1,0,0,2
"26622",0,17,1153,4,4,4,3,4,4,3,5,2,4,4,3,3,3,19,10,1,0,0,1,0,1
"26626",0,35,200,3,3,3,4,1,3,1,1,4,5,4,3,4,1,0,0,1,0,1,0,0,2
"26634",0,20,282,3,4,3,4,2,3,2,2,1,5,3,2,3,2,0,0,1,0,0,1,0,2
"26637",0,42,774,2,2,2,2,5,2,5,5,3,3,4,2,2,5,18,34,1,0,0,1,0,4
"26644",0,34,259,2,0,2,1,3,2,3,3,3,5,1,4,3,3,0,0,1,0,0,1,0,2
"26646",1,27,551,0,0,0,2,2,0,2,2,5,2,5,3,4,2,0,0,1,0,1,0,0,4
"26650",1,16,309,4,4,4,4,5,4,5,5,2,1,4,2,4,5,0,0,1,0,0,1,0,2
"26654",0,59,489,3,1,3,4,3,3,3,3,4,1,3,1,3,3,4,0,1,0,0,1,0,2
"26666",1,10,908,5,5,5,4,4,5,3,4,3,2,5,4,4,4,20,0,1,0,0,1,0,4
"26669",1,24,1076,2,2,2,4,3,2,3,3,1,1,4,4,3,3,0,0,1,0,0,1,0,1
"26676",1,21,1009,4,4,4,3,1,4,3,1,3,1,4,3,4,1,0,0,1,0,0,1,0,1
"26680",1,8,490,4,4,4,3,5,4,5,5,4,1,3,4,3,5,0,0,1,0,0,1,0,2
"26687",0,15,1183,3,3,3,4,4,3,1,4,4,1,4,2,3,4,34,41,1,0,0,1,0,1
"26688",1,22,224,4,0,5,4,1,5,1,1,3,5,4,5,5,1,31,33,1,0,1,0,0,2
"26697",0,24,794,3,3,3,4,5,3,5,5,1,5,4,1,3,5,24,15,1,0,0,1,0,4
"26699",1,44,366,3,3,3,3,4,3,4,4,5,4,4,5,5,4,0,0,1,0,1,0,0,2
"26715",0,31,1042,3,4,4,5,4,4,4,4,1,5,2,1,4,4,0,0,1,0,0,1,0,1
"26716",0,26,308,2,0,2,4,4,2,4,4,3,2,4,5,3,4,4,0,1,0,0,1,0,2
"26717",1,22,1517,3,3,3,4,2,3,3,2,5,5,5,4,5,2,0,0,1,0,0,1,0,1
"26718",1,27,909,1,1,1,2,5,1,5,5,4,4,2,1,2,5,0,15,1,0,0,1,0,4
"26728",1,29,679,1,1,1,4,2,1,2,2,4,3,3,2,3,2,0,0,1,0,0,1,0,4
"26735",1,27,581,4,4,4,2,2,4,2,2,4,4,5,3,4,2,2,0,1,0,1,0,0,4
"26738",1,22,1262,4,0,3,3,5,3,5,5,5,3,5,4,5,5,9,11,1,0,1,0,0,1
"26740",1,18,817,2,0,2,1,5,2,4,5,2,5,1,2,5,5,0,5,1,0,0,0,1,4
"26750",1,23,967,4,0,5,1,2,5,2,2,4,4,5,4,4,2,5,2,1,0,1,0,0,4
"26751",1,20,163,2,3,2,4,5,2,5,5,3,5,2,1,3,5,0,0,1,0,0,1,0,2
"26755",1,21,1197,5,5,5,1,5,5,5,5,5,4,4,4,4,5,0,0,1,0,0,1,0,1
"26757",0,25,824,3,3,3,4,3,4,4,3,1,4,3,4,3,4,0,24,1,0,0,1,0,4
"26761",0,24,1846,5,0,5,1,3,5,3,3,4,3,5,3,4,3,3,12,1,0,1,0,0,3
"26763",0,38,587,2,3,3,3,2,3,2,2,5,3,4,4,5,2,7,6,1,0,1,0,0,4
"26773",1,20,404,4,0,4,2,5,4,5,5,3,2,5,5,4,5,16,5,1,0,1,0,0,2
"26778",1,50,1491,2,2,2,2,4,2,2,4,4,3,4,4,4,4,0,0,1,0,1,0,0,1
"26787",0,54,639,1,2,1,1,2,1,2,2,1,4,1,2,2,2,5,13,1,0,0,1,0,4
"26788",0,55,175,5,4,4,2,1,5,1,1,5,3,4,4,5,1,0,0,1,0,1,0,0,2
"26792",1,54,1055,2,2,2,2,4,2,4,4,4,2,5,5,4,4,0,0,1,0,1,0,0,1
"26798",1,54,237,4,4,4,2,4,4,3,4,3,3,5,5,5,4,6,0,1,0,1,0,0,2
"26799",0,21,228,2,4,2,3,1,2,1,1,1,5,3,3,4,1,0,0,1,0,0,1,0,2
"26801",0,32,302,3,3,3,2,3,3,3,3,3,2,5,4,5,3,0,0,1,0,1,0,0,2
"26804",1,31,1069,1,1,1,4,1,2,2,4,1,3,3,2,2,2,126,175,1,0,1,0,0,1
"26813",1,20,589,3,2,3,2,5,3,5,5,1,1,2,3,2,5,3,8,1,0,0,1,0,4
"26826",0,37,323,1,3,1,3,5,1,5,5,1,3,3,4,3,5,0,8,1,0,0,1,0,2
"26829",1,23,616,0,3,0,1,3,0,3,3,3,5,5,5,5,3,5,0,1,0,1,0,0,4
"26836",0,57,158,2,3,2,3,1,2,1,1,4,1,3,1,3,1,0,3,1,0,0,1,0,2
"26839",1,26,1044,3,3,3,4,4,3,4,4,5,5,5,3,5,4,23,50,1,0,1,0,0,1
"26842",0,20,347,3,4,3,3,2,3,2,2,4,3,3,2,1,2,0,0,1,0,0,1,0,2
"26869",0,26,585,5,3,5,4,3,5,5,3,5,2,4,5,3,3,31,0,1,0,0,1,0,4
"26883",1,14,3904,2,4,3,4,3,5,5,4,5,4,4,5,1,5,9,12,1,0,1,0,0,3
"26885",1,22,2475,4,4,4,3,1,4,1,1,2,3,4,2,4,1,37,18,1,0,0,1,0,3
"26888",0,10,696,3,3,3,1,2,3,2,2,4,2,4,5,4,2,0,0,1,0,0,1,0,4
"26889",0,36,1055,4,4,4,4,1,4,1,1,4,4,4,5,5,1,0,0,1,0,1,0,0,1
"26901",1,37,861,5,5,5,3,1,5,1,1,4,4,5,4,4,1,65,53,1,0,1,0,0,4
"26902",0,56,175,3,3,3,4,4,3,5,4,4,2,5,3,4,4,0,0,1,0,1,0,0,2
"26911",0,37,878,1,1,1,2,2,1,2,2,4,5,5,5,2,2,0,0,1,0,0,1,0,4
"26923",1,43,159,5,5,5,2,4,5,4,4,4,3,4,3,5,4,31,31,1,0,1,0,0,2
"26924",0,27,859,4,4,4,3,1,4,1,1,1,1,2,1,2,1,0,0,1,0,0,0,1,4
"26927",0,27,563,4,0,4,5,2,4,3,2,4,5,3,3,3,2,0,0,1,0,0,1,0,4
"26948",0,23,271,5,0,5,1,3,5,4,3,4,5,4,5,5,3,62,84,1,0,0,1,0,2
"26950",0,25,822,3,5,3,3,3,3,3,3,5,4,5,5,4,3,0,0,1,0,1,0,0,4
"26951",1,25,541,2,5,1,3,4,1,3,4,4,5,5,4,4,4,0,0,1,0,1,0,0,4
"26952",1,37,628,3,3,3,2,2,3,2,2,3,3,4,5,5,2,0,0,1,0,1,0,0,4
"26955",1,20,1178,3,3,3,4,5,3,5,5,2,4,4,2,4,5,0,0,1,0,0,1,0,1
"26956",0,26,451,2,3,2,4,5,2,5,5,1,2,3,4,3,5,3,0,1,0,0,1,0,2
"26959",0,38,309,3,3,3,4,5,3,1,5,3,5,4,5,4,5,0,0,1,0,1,0,0,2
"26965",1,28,1042,1,1,1,2,5,1,5,5,4,2,1,2,3,5,0,0,1,0,0,1,0,1
"26967",0,26,391,2,3,2,4,2,2,3,2,1,2,3,3,4,2,0,0,1,0,0,1,0,2
"26972",1,23,929,3,3,3,3,3,3,3,3,3,4,5,5,5,3,0,0,1,0,0,1,0,4
"26983",1,27,1050,2,2,2,3,3,2,1,3,3,5,4,4,5,3,0,0,1,0,1,0,0,1
"26986",1,20,337,3,0,3,5,3,3,3,3,3,4,4,5,5,3,45,63,1,0,0,1,0,2
"26992",1,30,409,3,4,3,1,5,3,5,5,4,3,3,5,2,5,19,17,1,0,0,1,0,2
"27002",0,25,674,4,4,4,1,5,4,5,5,2,5,5,1,5,5,1,9,1,0,0,1,0,4
"27005",0,20,895,2,2,2,4,4,2,4,4,3,1,4,4,3,4,26,10,1,0,0,1,0,4
"27011",1,40,867,1,1,1,5,4,1,4,4,2,3,4,1,5,4,0,0,1,0,0,1,0,4
"27014",0,32,289,1,1,1,2,3,1,3,3,4,5,5,3,4,3,37,41,1,0,1,0,0,2
"27018",0,42,449,3,3,3,1,1,3,1,1,5,2,5,5,4,1,2,5,1,0,1,0,0,2
"27022",1,26,1037,4,4,4,4,4,4,4,4,4,5,3,4,3,4,0,2,1,0,0,1,0,1
"27032",1,49,200,3,0,3,5,5,3,5,5,2,5,2,1,2,5,0,0,1,0,0,1,0,2
"27033",1,19,991,2,2,2,3,2,2,2,2,4,3,3,4,3,2,0,25,1,0,0,1,0,1
"27052",1,34,476,4,5,4,2,3,4,3,3,5,1,4,1,4,3,0,0,1,0,0,1,0,2
"27058",1,37,212,2,3,3,4,3,3,1,3,4,2,5,3,5,3,4,1,1,0,1,0,0,2
"27074",0,21,1322,4,0,4,1,2,4,2,2,1,2,4,4,2,2,0,16,1,0,1,0,0,1
"27076",1,18,1192,2,4,2,3,3,2,3,3,1,5,4,4,4,3,0,2,1,0,1,0,0,1
"27077",0,26,366,2,0,2,4,1,2,1,1,3,5,4,3,4,1,1,0,1,0,1,0,0,2
"27079",1,27,395,1,2,2,2,3,2,3,3,5,5,5,3,5,3,0,0,1,0,1,0,0,2
"27080",1,28,987,5,5,5,2,3,5,2,3,4,4,4,5,4,3,57,54,1,0,1,0,0,1
"27081",0,23,258,3,3,4,4,3,4,3,3,1,2,4,4,4,3,6,0,1,0,0,1,0,2
"27083",1,20,427,1,0,1,2,4,1,4,4,4,3,1,4,4,4,3,0,1,0,0,1,0,2
"27085",0,32,781,2,2,2,2,1,2,1,1,4,5,4,3,4,1,26,28,1,0,1,0,0,4
"27086",0,25,1053,2,2,2,3,2,2,2,2,4,2,3,1,2,2,6,1,1,0,0,1,0,1
"27087",1,30,715,3,3,3,5,5,3,5,5,5,2,5,4,5,5,0,0,1,0,1,0,0,4
"27097",0,31,1050,1,0,0,3,5,0,5,5,5,2,2,2,4,5,0,0,1,0,0,1,0,1
"27107",0,15,1389,1,1,1,3,4,1,4,4,4,2,3,3,3,4,0,0,1,0,0,1,0,1
"27109",1,28,1034,3,3,3,2,5,3,5,5,2,1,2,5,3,5,0,0,1,0,0,1,0,1
"27111",1,39,397,3,0,3,3,2,3,2,2,3,3,4,2,4,2,29,22,1,0,0,1,0,2
"27136",0,30,1062,4,4,4,1,1,4,1,1,5,3,4,5,4,1,0,7,1,0,1,0,0,1
"27137",1,26,294,2,4,3,3,5,3,5,5,4,2,4,2,4,5,0,0,1,0,1,0,0,2
"27140",1,22,222,0,0,0,3,1,0,1,1,5,4,5,2,2,1,0,19,1,0,1,0,0,2
"27141",1,12,861,2,1,1,4,4,1,4,4,4,3,3,3,4,4,13,14,1,0,0,1,0,4
"27172",0,27,589,3,3,3,4,3,3,3,3,4,1,3,3,4,3,0,0,1,0,0,0,1,4
"27178",1,27,1069,3,3,3,3,2,3,2,2,4,1,3,3,3,2,0,0,1,0,1,0,0,1
"27188",1,33,1585,2,2,2,3,1,2,5,1,4,4,3,3,3,1,26,30,1,0,0,1,0,1
"27190",1,28,719,3,4,3,4,1,3,1,1,3,2,5,3,4,1,0,0,0,1,1,0,0,4
"27192",1,33,2504,2,2,2,4,5,2,5,5,2,3,4,3,4,5,0,0,1,0,0,1,0,3
"27197",0,29,1363,5,5,5,2,2,5,2,2,4,4,4,4,5,2,0,0,1,0,1,0,0,1
"27199",0,27,468,4,4,4,1,5,4,5,5,5,3,5,5,4,5,0,0,1,0,1,0,0,2
"27205",1,33,628,3,5,3,3,2,3,2,2,5,4,1,1,4,2,71,72,1,0,0,1,0,4
"27207",0,27,356,2,2,2,4,5,2,5,5,4,2,3,3,4,5,0,0,1,0,0,0,1,2
"27210",0,35,184,3,3,2,5,1,2,4,1,1,3,5,3,3,1,0,0,1,0,0,1,0,2
"27219",0,38,1605,3,3,3,2,2,3,2,2,4,2,4,3,5,2,2,0,1,0,1,0,0,1
"27222",1,62,473,3,3,3,2,1,3,1,1,3,5,2,4,2,1,0,6,1,0,1,0,0,2
"27227",1,16,351,2,1,3,3,5,3,5,5,4,4,4,1,4,5,0,0,1,0,0,1,0,2
"27236",1,29,919,3,3,3,3,2,3,2,2,3,5,2,4,3,2,45,25,1,0,0,1,0,4
"27237",1,35,1477,1,1,1,5,1,2,2,3,1,3,2,2,4,2,0,0,1,0,0,1,0,1
"27238",1,21,802,3,2,2,2,3,2,3,3,2,1,1,2,1,3,33,32,1,0,0,1,0,4
"27241",1,44,395,2,2,2,4,4,2,4,4,4,3,4,4,4,4,0,0,1,0,1,0,0,2
"27243",0,39,446,2,5,2,1,2,2,2,2,3,3,2,4,1,2,4,0,1,0,0,1,0,2
"27249",0,14,550,3,1,3,4,5,3,5,5,4,4,4,2,4,5,23,16,1,0,0,1,0,4
"27253",0,35,861,1,1,1,3,1,1,1,1,1,4,3,2,4,1,0,0,1,0,0,1,0,4
"27258",1,37,1107,3,3,3,4,3,3,3,3,5,4,5,4,5,3,0,0,1,0,1,0,0,1
"27259",1,35,236,1,1,1,4,2,1,2,2,4,1,3,1,3,2,0,0,1,0,1,0,0,2
"27261",1,24,641,1,1,1,1,1,1,1,1,1,3,1,2,1,1,0,0,1,0,0,1,0,4
"27269",1,22,438,5,4,5,4,3,4,3,3,4,5,4,3,4,3,41,50,1,0,0,1,0,2
"27277",0,18,189,4,5,4,4,5,4,5,5,5,4,5,4,5,5,3,3,1,0,0,1,0,2
"27288",1,52,587,5,5,5,1,3,5,3,3,3,5,4,5,4,3,0,0,1,0,1,0,0,4
"27295",1,26,240,0,0,0,3,4,0,1,4,3,4,4,5,5,4,8,0,1,0,1,0,0,2
"27307",0,38,926,4,4,4,2,1,4,1,1,4,4,4,5,4,1,0,0,1,0,1,0,0,4
"27327",1,43,427,4,2,4,4,5,4,5,5,3,5,4,2,4,5,1,3,1,0,0,1,0,2
"27336",0,29,235,3,3,3,4,2,3,2,2,3,3,4,3,4,2,7,30,1,0,0,1,0,2
"27339",0,26,1514,1,0,1,2,5,1,5,5,3,4,5,5,5,5,0,0,1,0,1,0,0,1
"27351",1,49,1188,3,3,3,3,5,3,5,5,3,4,5,3,5,5,2,19,1,0,1,0,0,1
"27355",1,36,414,4,0,4,1,5,4,5,5,3,1,4,4,4,5,0,13,1,0,0,1,0,2
"27362",0,27,1211,2,2,2,3,2,2,2,2,3,3,3,1,4,2,0,0,1,0,0,1,0,1
"27373",0,30,89,1,2,2,4,2,2,2,2,4,4,4,1,4,2,9,0,1,0,1,0,0,2
"27375",0,20,954,4,4,4,4,5,4,5,5,3,4,3,5,1,5,37,21,1,0,0,1,0,4
"27376",1,20,414,4,0,4,2,1,4,1,1,5,2,5,5,4,1,0,0,1,0,1,0,0,2
"27385",0,51,594,3,4,3,3,4,3,4,4,4,1,3,4,4,4,2,1,1,0,0,1,0,4
