"","satisfaction","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","cluster"
"20475",0,1,"disloyal Customer",32,"Business travel","Business",728,2,2,2,1,5,2,5,5,5,4,4,5,4,5,1,0,1
"20476",1,1,"disloyal Customer",39,"Business travel","Business",347,4,4,4,2,3,4,3,3,2,2,1,3,2,3,0,0,3
"20478",0,0,"disloyal Customer",25,"Business travel","Business",528,1,4,2,1,5,2,5,5,4,4,5,4,4,5,0,0,1
"20486",0,1,"disloyal Customer",18,"Business travel","Eco",967,2,2,2,4,3,2,3,3,3,5,3,3,4,3,19,9,4
"20489",0,1,"disloyal Customer",34,"Business travel","Business",1723,2,2,2,1,2,2,2,2,4,3,4,4,4,2,19,1,4
"20502",0,1,"disloyal Customer",36,"Business travel","Eco",484,1,4,1,3,4,1,4,4,2,3,4,3,3,4,0,0,1
"20506",0,1,"disloyal Customer",22,"Business travel","Eco",227,1,4,1,3,2,1,2,2,3,2,3,3,4,2,0,0,4
"20510",0,0,"disloyal Customer",45,"Business travel","Business",1249,1,1,1,5,2,1,2,2,5,5,5,3,4,2,0,17,4
"20512",0,1,"disloyal Customer",52,"Business travel","Eco",550,4,3,4,3,3,4,3,3,1,5,3,3,4,3,0,0,3
"20513",0,0,"disloyal Customer",38,"Business travel","Eco",925,3,3,3,4,2,3,4,2,1,1,4,1,5,2,56,42,3
"20520",0,1,"disloyal Customer",46,"Business travel","Business",377,3,3,3,2,1,3,1,1,3,4,4,5,4,1,3,3,3
"20524",1,0,"disloyal Customer",23,"Business travel","Business",184,5,0,5,1,5,5,5,5,3,2,5,3,4,5,12,0,2
"20526",1,0,"disloyal Customer",22,"Business travel","Eco",570,0,0,0,3,2,0,2,2,5,4,4,5,5,2,7,12,4
"20527",0,1,"disloyal Customer",37,"Business travel","Business",666,3,3,3,4,3,3,4,3,4,4,4,5,5,3,0,0,2
"20530",0,0,"disloyal Customer",27,"Business travel","Business",533,2,1,1,4,5,1,5,5,5,5,4,4,4,5,0,0,1
"20543",1,1,"disloyal Customer",24,"Business travel","Business",1138,4,4,4,4,5,4,4,5,3,2,4,4,5,5,0,0,2
"20549",0,0,"disloyal Customer",36,"Business travel","Eco",451,1,0,2,1,2,2,2,2,5,5,5,4,2,2,7,0,4
"20552",0,0,"disloyal Customer",29,"Business travel","Business",1092,1,1,1,2,4,1,4,4,5,2,5,4,4,4,4,0,1
"20556",0,0,"disloyal Customer",20,"Business travel","Eco",773,2,2,2,4,3,2,3,3,2,1,3,1,3,3,0,0,1
"20560",0,0,"disloyal Customer",22,"Business travel","Eco",251,4,2,5,2,4,5,4,4,1,5,2,4,3,4,38,33,2
"20562",1,1,"disloyal Customer",22,"Business travel","Business",594,0,4,0,4,3,0,3,3,4,3,5,4,4,3,0,0,4
"20565",0,0,"disloyal Customer",60,"Business travel","Business",1235,4,4,4,2,1,4,1,1,5,5,5,5,4,1,0,0,3
"20570",1,0,"disloyal Customer",30,"Business travel","Eco",1721,4,4,4,3,3,4,3,3,5,4,3,2,5,3,2,10,2
"20588",1,0,"disloyal Customer",18,"Business travel","Eco",622,0,5,0,3,5,0,2,5,3,3,5,4,4,5,0,0,1
"20596",0,1,"disloyal Customer",44,"Business travel","Eco",692,4,3,3,2,3,3,1,3,4,1,2,4,3,3,90,76,3
"20600",0,0,"disloyal Customer",20,"Business travel","Eco",164,2,2,2,3,1,2,1,1,4,3,3,1,3,1,0,3,4
"20610",1,1,"disloyal Customer",23,"Business travel","Business",1195,5,0,5,1,4,5,4,4,3,4,4,3,5,4,19,93,2
"20620",0,0,"disloyal Customer",14,"Business travel","Eco",978,3,3,3,4,4,3,5,4,1,1,4,4,3,4,0,0,1
"20621",0,0,"disloyal Customer",44,"Business travel","Eco",95,1,1,1,3,5,1,5,5,4,5,4,4,3,5,0,0,1
"20626",1,0,"disloyal Customer",45,"Business travel","Eco",328,0,0,0,4,1,0,1,1,3,3,4,1,2,1,0,0,4
"20629",1,0,"disloyal Customer",50,"Business travel","Business",1198,2,2,2,2,1,2,1,1,3,4,4,4,5,1,5,0,4
"20639",0,0,"disloyal Customer",55,"Business travel","Business",228,3,3,3,5,3,3,3,3,5,4,5,5,5,3,0,0,2
"20644",0,1,"disloyal Customer",27,"Business travel","Eco",1042,4,4,4,4,2,4,2,2,2,3,4,4,3,2,11,0,3
"20653",0,1,"disloyal Customer",26,"Business travel","Eco Plus",395,2,4,2,3,4,2,4,4,2,5,3,4,4,4,12,7,1
"20654",0,1,"disloyal Customer",45,"Business travel","Eco",369,4,0,4,4,1,4,5,1,3,5,4,2,1,1,0,0,3
"20667",0,1,"disloyal Customer",34,"Business travel","Business",1066,2,3,3,4,3,5,5,4,5,4,3,5,1,5,291,292,2
"20668",0,1,"disloyal Customer",28,"Business travel","Business",507,2,2,2,4,2,2,2,2,4,5,5,4,5,2,0,0,4
"20671",0,0,"disloyal Customer",38,"Business travel","Business",223,4,4,4,3,2,4,2,2,3,5,4,3,5,2,0,0,3
"20672",0,0,"disloyal Customer",33,"Business travel","Eco",577,3,0,3,1,2,3,2,2,4,2,5,1,1,2,3,5,3
"20684",0,0,"disloyal Customer",36,"Business travel","Eco",352,1,3,1,4,2,1,5,2,4,3,2,4,3,2,0,0,4
"20694",0,1,"disloyal Customer",32,"Business travel","Business",735,2,2,2,3,4,2,4,4,5,5,5,4,4,4,0,0,1
"20699",1,1,"disloyal Customer",43,"Business travel","Business",338,3,3,3,3,3,3,3,3,5,2,4,4,4,3,0,0,2
"20702",1,1,"disloyal Customer",25,"Business travel","Business",201,4,0,4,1,5,4,5,5,4,5,4,4,4,5,0,0,2
"20710",1,1,"disloyal Customer",17,"Business travel","Business",2239,5,3,5,5,1,5,1,1,4,5,4,4,5,1,0,0,3
"20716",1,0,"disloyal Customer",24,"Business travel","Eco",289,4,4,4,1,3,4,3,3,5,2,4,4,4,3,4,5,2
"20733",0,1,"disloyal Customer",28,"Business travel","Eco",846,1,2,2,2,2,2,1,2,1,5,1,4,5,2,0,0,4
"20737",0,0,"disloyal Customer",34,"Business travel","Eco",473,1,2,1,4,1,1,5,1,2,1,3,3,4,1,100,96,4
"20748",0,0,"disloyal Customer",40,"Business travel","Business",453,2,2,2,3,4,2,4,4,4,3,4,4,5,4,0,3,1
"20753",0,1,"disloyal Customer",31,"Business travel","Business",1061,2,1,1,4,3,1,3,3,1,4,4,4,4,3,39,37,4
"20758",0,1,"disloyal Customer",39,"Business travel","Eco",633,1,5,1,1,2,1,2,2,5,3,5,3,3,2,38,26,4
"20765",1,1,"disloyal Customer",28,"Business travel","Business",1065,5,5,5,1,3,5,3,3,4,3,5,5,4,3,9,12,2
"20773",0,0,"disloyal Customer",28,"Business travel","Business",919,2,2,2,2,4,2,4,4,3,3,5,3,5,4,0,0,1
"20778",0,0,"disloyal Customer",20,"Business travel","Eco",589,2,0,2,3,3,2,3,3,1,2,1,2,3,3,20,0,1
"20782",0,0,"disloyal Customer",25,"Business travel","Business",67,2,4,2,3,3,2,4,3,3,4,5,5,4,3,26,101,4
"20783",0,0,"disloyal Customer",22,"Business travel","Eco",335,3,2,3,3,2,3,2,2,2,3,4,2,4,2,87,91,3
"20784",0,1,"disloyal Customer",21,"Business travel","Eco",783,3,3,3,1,3,2,2,1,2,1,1,2,3,2,0,1,3
"20785",1,1,"disloyal Customer",22,"Business travel","Business",1313,4,0,4,5,1,4,1,1,4,2,5,3,5,1,0,0,3
"20788",1,1,"disloyal Customer",21,"Business travel","Eco",370,5,0,5,1,3,5,3,3,3,4,4,3,5,3,0,0,2
"20795",0,0,"disloyal Customer",24,"Business travel","Eco",738,2,2,2,3,4,2,4,4,4,3,4,5,4,4,26,21,1
"20803",0,0,"disloyal Customer",36,"Business travel","Eco",422,2,5,2,4,3,2,3,3,1,4,3,2,5,3,8,7,4
"20813",0,1,"disloyal Customer",42,"Business travel","Business",416,3,3,3,4,4,3,4,4,2,3,4,3,3,4,0,13,1
"20814",1,1,"disloyal Customer",24,"Business travel","Eco",1105,4,4,4,3,3,4,3,3,4,2,5,4,4,3,29,28,2
"20817",0,0,"disloyal Customer",27,"Business travel","Eco",247,4,4,4,3,3,4,3,3,4,5,3,1,4,3,0,11,3
"20824",0,1,"disloyal Customer",23,"Business travel","Eco",883,2,2,2,3,2,2,3,2,5,3,4,5,4,2,28,15,4
"20836",0,0,"disloyal Customer",28,"Business travel","Business",846,2,2,2,1,2,2,2,2,4,4,5,4,5,2,35,40,4
"20837",0,1,"disloyal Customer",39,"Business travel","Business",1235,1,1,1,3,4,1,4,4,4,3,4,3,5,4,1,0,1
"20839",0,0,"disloyal Customer",33,"Business travel","Eco",337,2,4,1,3,4,1,4,4,4,3,3,2,3,4,65,66,1
"20841",1,0,"disloyal Customer",24,"Business travel","Business",247,4,1,4,2,1,4,1,1,4,2,5,4,5,1,0,0,3
"20843",1,1,"disloyal Customer",56,"Personal Travel","Eco",369,0,2,0,4,3,0,3,3,1,5,3,3,4,3,0,0,4
"20882",1,0,"disloyal Customer",45,"Business travel","Business",373,4,4,4,2,5,4,5,5,5,3,5,3,5,5,12,19,2
"20884",1,1,"disloyal Customer",25,"Business travel","Business",964,5,0,5,4,3,5,3,3,5,2,5,5,5,3,0,0,2
"20896",0,1,"disloyal Customer",22,"Business travel","Eco",895,4,4,4,2,2,4,2,2,3,4,5,3,4,2,7,0,3
"20900",0,0,"disloyal Customer",27,"Business travel","Eco Plus",550,4,3,3,2,3,3,3,3,5,4,1,1,2,3,0,0,3
"20903",0,0,"disloyal Customer",35,"Business travel","Eco",666,2,4,3,3,5,3,3,5,2,2,4,1,4,5,0,26,1
"20912",0,1,"disloyal Customer",28,"Business travel","Eco",2149,3,3,3,5,3,3,3,3,3,2,4,5,3,3,0,0,3
"20913",1,1,"disloyal Customer",19,"Business travel","Eco",258,0,5,1,1,4,1,1,4,4,5,5,3,4,4,0,0,4
"20916",0,0,"disloyal Customer",34,"Business travel","Business",550,2,2,2,3,3,2,3,3,3,4,4,5,5,3,2,0,4
"20918",0,0,"disloyal Customer",35,"Business travel","Eco",67,3,1,3,3,1,3,1,1,2,5,3,2,4,1,4,7,3
"20930",0,1,"disloyal Customer",23,"Business travel","Eco",319,1,0,1,4,2,1,2,2,5,2,4,5,3,2,0,0,4
"20931",0,0,"disloyal Customer",27,"Business travel","Business",304,4,4,4,3,2,4,3,2,1,3,4,3,3,2,16,17,3
"20939",0,0,"disloyal Customer",19,"Business travel","Eco",1009,2,2,2,3,5,2,5,5,2,5,4,1,3,5,0,0,1
"20940",0,0,"disloyal Customer",33,"Business travel","Business",631,2,3,3,2,1,3,2,1,4,2,4,5,5,1,0,0,3
"20957",1,1,"disloyal Customer",18,"Business travel","Eco",1381,4,4,4,4,4,4,4,4,4,4,1,3,1,4,0,2,2
"20967",0,0,"disloyal Customer",50,"Business travel","Eco",705,3,3,3,4,2,3,2,2,2,1,4,1,3,2,5,5,3
"20970",0,0,"disloyal Customer",24,"Business travel","Eco",1024,2,2,2,4,5,2,5,5,1,3,4,4,3,5,0,11,1
"20971",0,1,"disloyal Customer",27,"Business travel","Eco",391,4,5,4,5,2,4,5,2,4,3,2,4,3,2,6,9,3
"20976",1,0,"disloyal Customer",44,"Business travel","Business",666,4,4,4,4,4,4,4,4,5,3,4,3,4,4,12,1,2
"20980",0,1,"disloyal Customer",66,"Business travel","Business",2611,2,2,2,3,5,2,5,5,3,4,3,2,3,5,0,0,1
"20982",0,0,"disloyal Customer",24,"Business travel","Eco",1079,3,4,4,4,3,4,3,3,2,4,4,3,3,3,1,0,3
"20988",1,0,"disloyal Customer",22,"Business travel","Eco",299,4,2,4,1,4,4,4,4,4,2,5,4,5,4,0,6,2
"20993",0,0,"disloyal Customer",29,"Business travel","Eco",610,4,5,3,2,5,3,5,5,3,5,2,2,1,5,0,0,1
"20995",0,0,"disloyal Customer",35,"Business travel","Business",342,2,2,2,4,1,2,1,1,3,5,5,3,5,1,4,1,4
"20996",0,1,"disloyal Customer",21,"Business travel","Eco",101,1,3,1,4,4,1,4,4,4,3,2,4,3,4,0,0,1
"21010",0,1,"disloyal Customer",36,"Business travel","Business",271,2,1,1,5,3,1,1,3,5,3,4,5,4,3,104,101,4
"21018",1,1,"disloyal Customer",63,"Business travel","Business",271,5,5,5,2,3,5,3,3,5,3,4,5,4,3,17,29,2
"21021",0,0,"disloyal Customer",24,"Business travel","Eco",265,3,0,3,3,4,3,4,4,2,2,2,4,1,4,0,0,1
"21032",0,0,"disloyal Customer",21,"Business travel","Eco",567,2,3,2,4,3,2,1,3,4,5,3,4,4,3,0,0,4
"21034",0,0,"disloyal Customer",25,"Business travel","Eco",169,1,5,1,4,1,1,5,1,5,1,2,5,4,1,59,54,4
"21038",0,0,"disloyal Customer",58,"Business travel","Eco",308,3,3,3,4,5,3,5,5,1,2,4,4,3,5,0,5,1
"21042",0,1,"disloyal Customer",35,"Business travel","Business",1303,3,3,3,3,4,3,4,4,4,2,4,3,5,4,0,0,2
"21043",1,0,"disloyal Customer",41,"Business travel","Eco",1482,5,5,5,4,2,5,2,2,4,2,2,3,5,2,0,0,3
"21046",0,1,"disloyal Customer",37,"Business travel","Business",991,1,1,1,3,5,1,5,5,5,4,5,4,5,5,1,0,1
"21049",0,1,"disloyal Customer",26,"Business travel","Eco",253,3,1,3,3,5,3,5,5,3,3,3,1,4,5,73,72,1
"21052",0,1,"disloyal Customer",9,"Business travel","Eco",1072,4,4,4,3,2,4,2,2,3,4,3,3,4,2,9,0,3
"21054",0,0,"disloyal Customer",35,"Business travel","Eco",2704,4,4,4,3,4,4,4,1,1,1,3,4,1,4,160,181,3
"21056",0,1,"disloyal Customer",20,"Business travel","Eco",292,3,4,3,3,2,3,2,2,2,4,4,4,3,2,0,0,3
"21057",0,0,"disloyal Customer",28,"Business travel","Business",679,2,2,2,1,1,2,1,1,3,3,5,3,5,1,0,0,4
"21066",0,1,"disloyal Customer",7,"Business travel","Eco",1306,1,1,1,3,5,1,5,5,2,4,3,3,3,5,9,45,1
"21069",0,0,"disloyal Customer",38,"Business travel","Business",715,2,2,2,5,2,2,2,2,5,5,4,4,4,2,0,0,4
"21076",1,1,"disloyal Customer",20,"Business travel","Business",431,4,0,4,1,3,4,3,3,4,3,5,5,4,3,5,0,2
"21077",0,1,"disloyal Customer",25,"Business travel","Eco",464,1,2,1,3,1,4,4,2,5,3,2,4,4,4,245,243,4
"21078",0,1,"disloyal Customer",24,"Business travel","Eco",347,3,0,3,1,5,3,5,5,3,5,4,5,3,5,0,0,1
"21085",0,0,"disloyal Customer",57,"Business travel","Business",948,2,2,2,3,5,2,5,5,5,4,5,3,5,5,24,11,1
"21086",0,0,"disloyal Customer",39,"Business travel","Business",163,4,4,4,3,5,4,5,5,3,1,4,3,5,5,0,3,2
"21092",0,1,"disloyal Customer",36,"Business travel","Business",337,2,3,3,4,1,3,1,1,5,5,5,3,5,1,4,0,3
"21093",0,1,"disloyal Customer",24,"Business travel","Eco",547,2,3,2,3,1,2,1,1,3,5,3,4,3,1,0,0,4
"21094",0,1,"disloyal Customer",44,"Business travel","Business",227,2,2,2,4,1,2,1,1,1,5,3,1,4,1,0,0,4
"21106",0,0,"disloyal Customer",49,"Business travel","Business",316,1,1,1,3,4,1,4,4,3,3,4,3,4,4,0,1,1
"21108",0,0,"disloyal Customer",47,"Business travel","Business",997,1,1,1,2,3,1,3,3,2,3,2,2,2,3,0,0,4
"21117",1,1,"disloyal Customer",39,"Business travel","Eco",425,5,0,5,3,4,5,4,4,4,3,4,2,1,4,44,41,2
"21118",1,0,"disloyal Customer",29,"Business travel","Business",761,5,4,4,3,2,4,2,2,3,3,5,5,5,2,0,0,3
"21122",1,0,"disloyal Customer",28,"Business travel","Business",1091,4,4,4,2,4,4,4,4,5,5,5,4,5,4,0,0,2
"21123",0,0,"disloyal Customer",36,"Business travel","Eco",405,2,3,2,3,1,2,1,1,2,2,4,2,4,1,0,0,4
"21128",1,0,"disloyal Customer",23,"Business travel","Eco",31,4,0,4,1,1,4,1,1,1,3,4,5,2,1,0,0,3
"21140",0,1,"disloyal Customer",30,"Business travel","Business",696,1,1,1,2,4,1,4,4,3,2,5,3,4,4,0,0,1
"21148",1,0,"disloyal Customer",20,"Business travel","Eco",641,5,0,5,5,5,1,5,4,5,3,1,5,5,5,505,486,2
"21161",1,1,"disloyal Customer",27,"Business travel","Business",580,4,4,4,4,3,4,3,3,3,5,4,5,4,3,16,11,2
"21166",0,1,"disloyal Customer",25,"Business travel","Eco",1211,4,4,4,4,5,4,5,5,1,3,3,2,4,5,0,0,2
"21173",0,1,"disloyal Customer",49,"Business travel","Eco",1521,3,3,3,3,3,3,3,3,4,4,3,1,3,3,1,0,3
"21183",0,1,"disloyal Customer",48,"Business travel","Business",189,1,1,1,1,3,1,3,3,5,4,5,5,4,3,0,0,4
"21194",0,0,"disloyal Customer",46,"Business travel","Business",1044,3,3,3,1,5,3,5,5,3,3,5,5,4,5,53,41,2
"21206",1,1,"disloyal Customer",28,"Business travel","Business",1045,4,4,4,3,1,4,1,1,4,2,4,4,4,1,0,0,3
"21208",0,0,"disloyal Customer",55,"Business travel","Eco",712,3,3,3,2,2,3,2,2,3,5,3,4,2,2,0,0,3
"21214",0,0,"disloyal Customer",28,"Business travel","Eco",1008,3,2,2,3,1,2,1,1,5,3,3,4,2,1,0,0,4
"21226",0,1,"disloyal Customer",44,"Business travel","Eco Plus",752,1,1,1,2,3,1,3,3,2,2,1,2,3,3,0,0,4
"21227",0,1,"disloyal Customer",37,"Business travel","Eco",160,4,0,3,2,3,3,3,3,5,4,3,2,5,3,55,51,3
"21228",0,1,"disloyal Customer",46,"Business travel","Eco",1164,1,1,1,3,3,1,3,3,1,1,2,2,3,3,0,0,4
"21233",0,1,"disloyal Customer",17,"Business travel","Eco Plus",302,3,0,3,3,4,3,4,4,1,5,1,3,2,4,0,0,1
"21240",0,0,"disloyal Customer",33,"Business travel","Eco",214,1,4,1,3,5,1,5,5,1,4,3,3,4,5,0,0,1
"21248",1,0,"disloyal Customer",30,"Business travel","Business",679,4,4,4,1,3,4,3,3,5,2,5,5,5,3,11,0,2
"21250",0,1,"disloyal Customer",36,"Business travel","Business",472,3,2,2,2,1,2,1,1,4,5,5,5,4,1,0,0,4
"21253",0,0,"disloyal Customer",20,"Business travel","Eco",862,2,2,2,3,5,2,5,5,1,4,4,4,4,5,35,32,1
"21254",0,1,"disloyal Customer",44,"Business travel","Eco",476,2,0,2,3,2,2,2,2,1,2,1,4,2,2,0,0,4
"21258",0,0,"disloyal Customer",43,"Business travel","Eco",531,4,0,4,1,4,4,4,4,2,2,2,4,5,4,0,4,2
"21259",0,1,"disloyal Customer",17,"Business travel","Eco",725,4,4,4,3,3,4,3,3,1,1,3,1,4,3,81,58,3
"21260",0,0,"disloyal Customer",30,"Business travel","Eco",2586,2,2,2,4,2,4,4,1,3,3,4,4,2,4,0,0,3
"21261",1,1,"disloyal Customer",24,"Business travel","Business",1235,5,0,5,4,5,5,4,5,4,2,5,5,5,5,0,0,2
"21267",0,1,"disloyal Customer",41,"Business travel","Eco",301,2,2,2,3,2,2,2,2,4,3,4,4,4,2,38,27,4
"21279",0,0,"disloyal Customer",36,"Business travel","Eco",349,3,3,4,4,2,4,2,2,3,3,1,1,5,2,0,0,3
"21281",0,0,"disloyal Customer",46,"Business travel","Business",868,3,3,3,2,2,3,2,2,4,3,4,3,4,2,0,0,3
"21286",0,1,"disloyal Customer",22,"Business travel","Eco",771,3,3,3,2,2,3,3,2,1,2,1,3,1,2,0,0,3
"21294",0,0,"disloyal Customer",36,"Business travel","Business",409,3,3,3,4,4,3,4,4,3,2,4,3,4,4,98,95,2
"21297",1,1,"disloyal Customer",22,"Business travel","Eco",113,4,0,4,1,3,4,3,3,4,4,1,3,2,3,5,0,3
"21298",0,1,"disloyal Customer",21,"Business travel","Eco",1773,3,3,3,4,4,3,4,4,3,5,4,3,5,4,0,0,2
"21300",0,0,"disloyal Customer",26,"Business travel","Eco",201,1,1,0,3,2,0,2,2,3,5,3,3,3,2,20,9,4
"21303",0,0,"disloyal Customer",40,"Business travel","Business",1448,3,2,2,4,1,2,1,1,4,5,3,4,3,1,0,0,4
"21311",0,1,"disloyal Customer",34,"Business travel","Business",516,2,2,2,4,2,2,2,2,4,2,5,4,4,2,8,17,4
"21314",0,0,"disloyal Customer",10,"Business travel","Eco",868,1,0,0,4,5,0,5,5,4,3,4,3,4,5,24,16,1
"21317",0,1,"disloyal Customer",9,"Business travel","Eco",576,2,0,2,4,4,2,4,4,5,4,5,2,2,4,4,0,1
"21322",0,0,"disloyal Customer",25,"Business travel","Eco",409,2,4,2,2,1,2,1,1,2,3,4,1,5,1,108,98,4
"21324",0,1,"disloyal Customer",26,"Business travel","Eco",548,2,0,2,3,2,2,2,2,4,3,4,5,5,2,0,0,4
"21325",0,1,"disloyal Customer",48,"Business travel","Eco",2475,2,1,1,2,2,5,5,3,1,1,3,5,1,5,0,22,1
"21336",0,0,"disloyal Customer",24,"Business travel","Business",201,3,1,3,4,3,3,3,3,2,4,4,3,4,3,28,30,3
"21342",0,1,"disloyal Customer",56,"Business travel","Eco",132,1,3,1,3,5,1,5,5,4,3,3,2,4,5,0,0,1
"21345",0,1,"disloyal Customer",22,"Business travel","Eco",866,3,3,3,3,5,3,5,5,4,3,3,2,3,5,5,22,1
"21368",0,0,"disloyal Customer",29,"Business travel","Eco Plus",770,1,0,0,3,3,0,3,3,4,5,4,2,3,3,42,41,4
"21371",0,0,"disloyal Customer",25,"Business travel","Eco",563,3,0,3,3,1,3,1,1,3,1,2,5,2,1,0,0,3
"21374",1,0,"disloyal Customer",26,"Business travel","Business",1047,5,5,5,3,1,5,1,1,3,4,4,4,5,1,0,0,3
"21375",0,0,"disloyal Customer",22,"Business travel","Eco",806,2,2,2,4,5,2,5,5,2,2,4,4,1,5,0,0,1
"21396",1,0,"disloyal Customer",20,"Business travel","Eco",282,5,0,5,1,3,5,3,3,4,2,5,4,4,3,0,0,2
"21400",0,1,"disloyal Customer",40,"Business travel","Eco",212,3,5,3,3,3,3,3,3,1,3,5,3,5,3,2,0,3
"21403",1,1,"disloyal Customer",49,"Business travel","Business",1379,5,4,4,4,5,5,5,5,4,4,4,5,5,5,19,13,2
"21408",0,1,"disloyal Customer",39,"Business travel","Business",187,1,1,1,2,3,1,5,3,4,4,4,3,4,3,18,17,1
"21413",1,0,"disloyal Customer",24,"Business travel","Business",679,4,4,4,3,1,4,1,1,4,3,4,4,5,1,0,0,3
"21426",0,0,"disloyal Customer",39,"Business travel","Business",299,4,4,4,3,2,4,2,2,4,3,2,4,3,2,89,107,3
"21427",1,0,"disloyal Customer",29,"Personal Travel","Eco",290,5,5,5,3,2,5,2,2,3,3,4,4,4,2,0,0,3
"21434",1,1,"disloyal Customer",46,"Business travel","Business",2762,5,5,5,4,5,5,5,2,2,5,4,5,3,5,0,1,2
"21439",1,1,"disloyal Customer",20,"Business travel","Business",312,4,4,4,1,3,4,3,3,5,5,5,4,5,3,37,39,2
"21440",0,0,"disloyal Customer",23,"Business travel","Eco",986,3,3,3,4,5,3,4,5,4,4,3,4,3,5,5,0,2
"21443",0,1,"disloyal Customer",37,"Business travel","Eco",1247,3,3,3,2,3,3,3,3,3,4,2,3,3,3,0,13,3
"21444",0,0,"disloyal Customer",33,"Business travel","Eco",89,1,4,2,3,5,2,4,5,5,4,3,4,5,5,0,0,1
"21454",0,0,"disloyal Customer",37,"Business travel","Business",821,3,3,3,2,5,3,4,5,3,2,4,3,4,5,0,0,2
"21455",0,0,"disloyal Customer",32,"Business travel","Business",401,4,4,4,2,4,4,4,4,3,2,4,4,4,4,12,4,2
"21468",1,1,"disloyal Customer",30,"Business travel","Business",936,5,5,5,3,3,5,3,3,5,2,4,5,5,3,23,11,2
"21469",0,0,"disloyal Customer",27,"Business travel","Eco Plus",453,3,3,3,3,5,3,5,5,2,5,3,3,4,5,0,0,1
"21473",0,1,"disloyal Customer",27,"Business travel","Business",1121,4,4,4,4,4,4,4,4,5,5,5,3,4,4,6,2,2
"21476",0,0,"disloyal Customer",21,"Business travel","Eco Plus",350,3,4,3,2,1,3,1,1,4,3,4,1,1,1,0,0,3
"21483",1,0,"disloyal Customer",38,"Business travel","Business",227,5,0,0,3,1,0,1,1,3,3,5,4,5,1,0,0,4
"21484",1,1,"disloyal Customer",27,"Business travel","Business",326,4,4,4,4,3,4,3,3,3,2,4,4,4,3,0,0,3
"21486",1,0,"disloyal Customer",20,"Business travel","Business",1444,4,0,4,1,5,4,5,5,3,3,4,5,5,5,5,0,2
"21489",0,1,"disloyal Customer",17,"Business travel","Eco",589,1,3,1,4,3,1,1,3,3,3,4,1,4,3,10,7,4
"21498",0,0,"disloyal Customer",22,"Business travel","Eco",1558,1,0,0,4,5,1,5,5,4,4,3,4,4,5,18,10,1
"21513",0,1,"disloyal Customer",23,"Business travel","Eco",1211,3,2,2,3,2,2,2,2,4,5,5,1,5,2,16,13,4
"21514",1,1,"disloyal Customer",37,"Business travel","Eco",676,4,4,4,2,4,4,4,4,1,3,5,1,1,4,0,0,2
"21516",0,0,"disloyal Customer",25,"Business travel","Business",1192,2,4,2,3,5,2,3,5,4,4,4,4,4,5,9,0,1
"21520",0,0,"disloyal Customer",36,"Business travel","Business",746,2,3,3,4,2,3,3,2,3,2,5,4,5,2,0,0,3
"21533",1,0,"disloyal Customer",21,"Business travel","Business",1947,0,3,0,4,2,3,2,2,5,4,5,4,4,2,0,0,4
"21534",1,0,"disloyal Customer",41,"Business travel","Business",612,5,5,5,4,4,5,4,4,5,3,4,3,5,4,0,0,2
"21536",1,0,"disloyal Customer",59,"Business travel","Business",451,4,4,4,1,4,4,4,4,4,5,4,3,4,4,6,0,2
"21537",1,0,"disloyal Customer",23,"Business travel","Business",541,4,1,4,4,3,4,5,3,4,3,5,3,4,3,0,0,2
"21538",0,1,"disloyal Customer",33,"Business travel","Business",337,4,4,4,1,2,4,2,2,4,4,4,4,4,2,87,75,3
"21552",0,1,"disloyal Customer",38,"Business travel","Business",214,1,1,1,1,4,1,3,4,1,4,2,3,5,4,0,0,1
"21553",0,1,"disloyal Customer",21,"Business travel","Eco",647,4,0,4,4,3,4,3,3,3,2,1,4,2,3,0,0,3
"21555",0,1,"disloyal Customer",39,"Business travel","Eco",867,1,1,1,2,5,1,2,5,4,1,2,1,3,5,1,0,1
"21574",0,0,"disloyal Customer",14,"Business travel","Eco",1303,4,4,4,5,1,4,1,1,5,3,4,3,4,1,32,0,3
"21581",0,0,"disloyal Customer",38,"Business travel","Business",1048,3,3,3,3,3,3,3,3,3,4,3,1,4,3,0,0,3
"21584",0,0,"disloyal Customer",21,"Business travel","Eco",898,4,4,4,4,1,4,2,1,5,5,5,4,4,1,4,0,3
"21586",0,1,"disloyal Customer",48,"Business travel","Business",1986,3,4,4,2,3,3,3,3,4,4,4,3,5,3,0,17,2
"21590",0,1,"disloyal Customer",30,"Business travel","Eco",577,4,1,4,4,5,4,5,5,4,2,4,2,3,5,0,3,2
"21591",0,1,"disloyal Customer",36,"Business travel","Eco",193,4,0,4,3,1,4,1,1,4,1,4,2,4,1,38,30,3
"21597",0,0,"disloyal Customer",41,"Business travel","Business",488,2,1,1,4,4,4,4,4,4,5,3,2,4,4,18,13,1
"21602",1,0,"disloyal Customer",20,"Business travel","Business",1474,4,0,3,1,2,3,2,2,4,3,5,5,5,2,0,0,3
